"Sex";"Periods";"Regions";"Population on 1 January (number)";"Population density (number)";"Live born children/Live born children (number)";"Live born children/Live born children, ratio (per 1,000)";"Deaths/Deaths (number)";"Deaths/Deaths, ratio (per 1,000)";"Natural increase (number)";"Arrivals in municipality/Total arrivals (number)";"Arrivals in municipality/Total arrivals, ratio (per 1,000)";"Arrivals in municipality/Due to immigration (number)";"Arrivals in municipality/Due to intermunicipal moves (number)";"Departures from municipality/Total departures including administra... (number)";"Departures from municipality/Total departures including adm..., ratio (per 1,000)";"Departures from municipality/Due to emigration including administr... (number)";"Departures from municipality/Due to intermunicipal moves (number)";"Net migration including administrative.. (number)";"Population growth/Population growth (number)";"Population growth/Population growth, ratio (per 1,000)";"Population on 31 December (number)"
"Total male and female";"1942";"Noord-Nederland (LD)";" 1116179";"       .";"   24257";"    21.6";"   10496";"     9.3";"   13761";"   59758";"    53.2";"       .";"       .";"   59085";"    52.6";"       .";"       .";"     673";"   14375";"    12.9";" 1130554"
"Total male and female";"1943";"Noord-Nederland (LD)";" 1130554";"       .";"   26630";"    23.4";"   11241";"     9.9";"   15389";"   66062";"    57.9";"       .";"       .";"   61768";"    54.2";"       .";"       .";"    4294";"   19683";"    17.4";" 1150237"
"Total male and female";"1944";"Noord-Nederland (LD)";" 1150237";"       .";"   27467";"    23.8";"   12312";"    10.7";"   15155";"   48790";"    42.3";"       .";"       .";"   56107";"    48.6";"       .";"       .";"   -7317";"    7838";"     6.8";" 1158075"
"Total male and female";"1945";"Noord-Nederland (LD)";" 1158075";"       .";"   27832";"    24.0";"   15189";"    13.1";"   12643";"   69434";"    59.9";"       .";"       .";"   78057";"    67.3";"       .";"       .";"   -8623";"    4020";"     3.5";" 1162095"
"Total male and female";"1946";"Noord-Nederland (LD)";" 1162095";"       .";"   33854";"    29.0";"   10633";"     9.1";"   23221";"   81571";"    69.8";"       .";"       .";"   93068";"    79.7";"       .";"       .";"  -11497";"   11724";"    10.1";" 1173819"
"Total male and female";"1947";"Noord-Nederland (LD)";" 1173819";"       .";"   31537";"    26.7";"    9933";"     8.4";"   21604";"   67451";"    57.1";"       .";"       .";"   75498";"    63.9";"       .";"       .";"   -8047";"   13557";"    11.5";" 1187376"
"Total male and female";"1948";"Noord-Nederland (LD)";" 1187376";"       .";"   28881";"    24.2";"    9365";"     7.9";"   19516";"   58126";"    48.7";"       .";"       .";"   67657";"    56.7";"       .";"       .";"   -9531";"   10935";"     9.2";" 1198311"
"Total male and female";"1949";"Noord-Nederland (LD)";" 1198311";"       .";"   27174";"    22.6";"   10477";"     8.7";"   16697";"   51656";"    43.0";"       .";"       .";"   60780";"    50.6";"       .";"       .";"   -9124";"    7573";"     6.3";" 1205884"
"Total male and female";"1950";"Noord-Nederland (LD)";" 1205884";"       .";"   26207";"    21.7";"    9731";"     8.0";"   16476";"   55102";"    45.5";"       .";"       .";"   62850";"    51.9";"       .";"       .";"   -7748";"    8728";"     7.2";" 1214612"
"Total male and female";"1951";"Noord-Nederland (LD)";" 1214612";"       .";"   26540";"    21.8";"    9483";"     7.8";"   17057";"   56710";"    46.6";"       .";"       .";"   70551";"    58.0";"       .";"       .";"  -13841";"    3216";"     2.6";" 1217828"
