"Sex";"Periods";"Regions";"Population on 1 January (number)";"Population density (number)";"Live born children/Live born children (number)";"Live born children/Live born children, ratio (per 1,000)";"Deaths/Deaths (number)";"Deaths/Deaths, ratio (per 1,000)";"Natural increase (number)";"Arrivals in municipality/Total arrivals (number)";"Arrivals in municipality/Total arrivals, ratio (per 1,000)";"Arrivals in municipality/Due to immigration (number)";"Arrivals in municipality/Due to intermunicipal moves (number)";"Departures from municipality/Total departures including administra... (number)";"Departures from municipality/Total departures including adm..., ratio (per 1,000)";"Departures from municipality/Due to emigration including administr... (number)";"Departures from municipality/Due to intermunicipal moves (number)";"Net migration including administrative.. (number)";"Population growth/Population growth (number)";"Population growth/Population growth, ratio (per 1,000)";"Population on 31 December (number)"
"Total male and female";"1942";"The Netherlands";" 9007722";"       .";"  189975";"    21.0";"   86040";"     9.5";"  103935";"  454210";"    50.2";"       .";"       .";"  489617";"    54.1";"       .";"       .";"  -35407";"   68528";"     7.6";" 9076250"
"Total male and female";"1943";"The Netherlands";" 9076250";"       .";"  209379";"    23.0";"   91438";"    10.0";"  117941";"  493825";"    54.3";"       .";"       .";"  559446";"    61.5";"       .";"       .";"  -65621";"   52320";"     5.8";" 9128570"
"Total male and female";"1944";"The Netherlands";" 9128570";"       .";"  219946";"    24.0";"  108087";"    11.8";"  111859";"  413070";"    45.0";"       .";"       .";"  433205";"    47.2";"       .";"       .";"  -20135";"   91724";"    10.0";" 9220294"
"Total male and female";"1945";"The Netherlands";" 9220294";"       .";"  209607";"    22.6";"  141398";"    15.3";"   68209";"  671178";"    72.5";"       .";"       .";"  655380";"    70.8";"       .";"       .";"   15798";"   84007";"     9.1";" 9304301"
"Total male and female";"1946";"The Netherlands";" 9304301";"       .";"  284456";"    30.2";"   80151";"     8.5";"  204305";"  729268";"    77.4";"       .";"       .";"  695215";"    73.8";"       .";"       .";"   34053";"  238358";"    25.6";" 9542659"
"Total male and female";"1947";"The Netherlands";" 9542659";"       .";"  267348";"    27.8";"   77646";"     8.1";"  189702";"  541530";"    56.2";"       .";"       .";"  558001";"    57.9";"       .";"       .";"  -16471";"  173231";"    18.2";" 9715890"
"Total male and female";"1948";"The Netherlands";" 9715890";"       .";"  247923";"    25.3";"   72459";"     7.4";"  175464";"  464489";"    47.4";"       .";"       .";"  485572";"    49.5";"       .";"       .";"  -21083";"  168525";"    17.3";" 9884415"
"Total male and female";"1949";"The Netherlands";" 9884415";"       .";"  236177";"    23.7";"   81077";"     8.1";"  155100";"  431802";"    43.4";"       .";"       .";"  454100";"    45.6";"       .";"       .";"  -22298";"  142358";"    14.4";"10026773"
"Total male and female";"1950";"The Netherlands";"10026773";"       .";"  229369";"    22.7";"   75580";"     7.5";"  153789";"  481626";"    47.6";"       .";"       .";"  461908";"    45.7";"       .";"       .";"   19718";"  173507";"    17.3";"10200280"
"Total male and female";"1951";"The Netherlands";"10200280";"       .";"  228631";"    22.3";"   77194";"     7.5";"  151437";"  489861";"    47.7";"       .";"       .";"  513235";"    50.0";"       .";"       .";"  -23374";"  128063";"    12.6";"10328343"
"Total male and female";"1952";"The Netherlands";"10328343";"       .";"  232596";"    22.4";"   75986";"     7.3";"  156610";"  472932";"    45.6";"       .";"       .";"  522254";"    50.3";"       .";"       .";"  -49322";"  107288";"    10.4";"10435631"
"Total male and female";"1953";"The Netherlands";"10435631";"       .";"  228609";"    21.8";"   80418";"     7.7";"  148191";"  488017";"    46.5";"       .";"       .";"  520050";"    49.6";"       .";"       .";"  -32033";"  115106";"    11.0";"10550737"
"Total male and female";"1954";"The Netherlands";"10550737";"       .";"  228892";"    21.6";"   79295";"     7.5";"  149597";"  502015";"    47.3";"       .";"       .";"  521252";"    49.1";"       .";"       .";"  -19237";"  129286";"    12.3";"10680023"
"Total male and female";"1955";"The Netherlands";"10680023";"       .";"  229911";"    21.4";"   81364";"     7.6";"  148547";"  507440";"    47.2";"       .";"       .";"  512969";"    47.7";"       .";"       .";"   -5529";"  141638";"    13.3";"10821661"
"Total male and female";"1956";"The Netherlands";"10821661";"       .";"  231204";"    21.2";"   84521";"     7.8";"  146683";"  518983";"    47.7";"       .";"       .";"  530261";"    48.7";"       .";"       .";"  -11278";"  135379";"    12.5";"10957040"
"Total male and female";"1957";"The Netherlands";"10957040";"       .";"  233608";"    21.2";"   82677";"     7.5";"  150931";"  537243";"    48.7";"       .";"       .";"  549893";"    49.9";"       .";"       .";"  -12650";"  138686";"    12.7";"11095726"
"Total male and female";"1958";"The Netherlands";"11095726";"       .";"  236543";"    21.1";"   84175";"     7.5";"  152368";"  558936";"    50.0";"       .";"       .";"  547274";"    48.9";"       .";"       .";"   11662";"  182298";"    16.4";"11278024"
"Total male and female";"1959";"The Netherlands";"11278024";"       .";"  242198";"    21.3";"   85752";"     7.6";"  156446";"  525706";"    46.3";"       .";"       .";"  542882";"    47.8";"       .";"       .";"  -17176";"  139230";"    12.3";"11417254"
"Total male and female";"1960";"The Netherlands";"11417254";"       .";"  238789";"    20.8";"   87486";"     7.6";"  151303";"  551116";"    48.0";"   45407";"  505709";"  564209";"    49.1";"   58226";"  505983";"  -13093";"  138754";"    12.2";"11556008"
"Total male and female";"1961";"The Netherlands";"11556008";"       .";"  247009";"    21.2";"   87923";"     7.6";"  159086";"  559761";"    48.1";"   55082";"  504679";"  553626";"    47.6";"   48670";"  504956";"    6135";"  165408";"    14.3";"11721416"
"Total male and female";"1962";"The Netherlands";"11721416";"       .";"  245739";"    20.8";"   93558";"     7.9";"  152181";"  571502";"    48.4";"   66035";"  505467";"  554824";"    47.0";"   49082";"  505742";"   16678";"  168546";"    14.4";"11889962"
"Total male and female";"1963";"The Netherlands";"11889962";"       .";"  249879";"    20.9";"   95734";"     8.0";"  154145";"  560269";"    46.8";"   55127";"  505142";"  552052";"    46.1";"   46691";"  505361";"    8217";"  152008";"    12.8";"12041970"
"Total male and female";"1964";"The Netherlands";"12041970";"       .";"  250914";"    20.7";"   93437";"     7.7";"  157477";"  597746";"    49.3";"   67079";"  530667";"  584268";"    48.2";"   53419";"  530849";"   13478";"  170299";"    14.1";"12212269"
"Total male and female";"1965";"The Netherlands";"12212269";"       .";"  245216";"    19.9";"   98026";"     8.0";"  147190";"  624019";"    50.8";"   76572";"  547447";"  605494";"    49.2";"   57808";"  547686";"   18525";"  164925";"    13.5";"12377194"
"Total male and female";"1966";"The Netherlands";"12377194";"       .";"  239611";"    19.2";"  100516";"     8.1";"  139095";"  657584";"    52.8";"   81842";"  575742";"  637919";"    51.2";"   61892";"  576027";"   19665";"  158113";"    12.8";"12535307"
"Total male and female";"1967";"The Netherlands";"12535307";"       .";"  238678";"    18.9";"   99792";"     7.9";"  138886";"  642568";"    51.0";"   55784";"  586784";"  654247";"    51.9";"   67292";"  586955";"  -11679";"  125788";"    10.0";"12661095"
"Total male and female";"1968";"The Netherlands";"12661095";"       .";"  237112";"    18.6";"  104989";"     8.2";"  132123";"  683229";"    53.7";"   64486";"  618743";"  677352";"    53.2";"   58479";"  618873";"    5877";"  137251";"    10.8";"12798346"
"Total male and female";"1969";"The Netherlands";"12798346";"       .";"  247588";"    19.2";"  107615";"     8.4";"  139973";"  721991";"    56.1";"   76359";"  645632";"  702141";"    54.5";"   56176";"  645965";"   19850";"  159275";"    12.4";"12957621"
"Total male and female";"1970";"The Netherlands";"12957621";"       .";"  238912";"    18.3";"  109619";"     8.4";"  129293";"  735040";"    56.4";"   90829";"  644211";"  701773";"    53.8";"   57375";"  644398";"   33267";"  161809";"    12.5";"13119430"
"Total male and female";"1971";"The Netherlands";"13119430";"       .";"  227180";"    17.2";"  110243";"     8.4";"  116937";"  781299";"    59.2";"   95054";"  686245";"  748622";"    56.7";"   62040";"  686582";"   32677";"  150133";"    11.4";"13269563"
"Total male and female";"1972";"The Netherlands";"13269563";"       .";"  214133";"    16.1";"  113576";"     8.5";"  100557";"  776546";"    58.3";"   81329";"  695217";"  757704";"    56.8";"   62200";"  695504";"   18842";"  118060";"     8.9";"13387623"
"Total male and female";"1973";"The Netherlands";"13387623";"       .";"  194993";"    14.5";"  110682";"     8.2";"   84311";"  800906";"    59.6";"   84691";"  716215";"  780132";"    58.0";"   63623";"  716509";"   20774";"  103397";"     7.7";"13491020"
"Total male and female";"1974";"The Netherlands";"13491020";"       .";"  185982";"    13.7";"  109250";"     8.1";"   76732";"  808049";"    59.7";"   93796";"  714253";"  775325";"    57.2";"   60655";"  714670";"   32724";"  108072";"     8.0";"13599092"
"Total male and female";"1975";"The Netherlands";"13599092";"       .";"  177876";"    13.0";"  113737";"     8.3";"   64139";"  805196";"    58.9";"  127264";"  677932";"  733467";"    53.7";"   55209";"  678258";"   71729";"  134486";"     9.9";"13733578"
"Total male and female";"1976";"The Netherlands";"13733578";"       .";"  177090";"    12.9";"  114454";"     8.3";"   62636";"  740605";"    53.8";"   82953";"  657652";"  719538";"    52.2";"   61530";"  658008";"   21067";"   80917";"     5.9";"13814495"
"Total male and female";"1977";"The Netherlands";"13814495";"       .";"  173296";"    12.5";"  110093";"     7.9";"   63203";"  710171";"    51.3";"   83899";"  626272";"  690307";"    49.8";"   63555";"  626752";"   19864";"   83379";"     6.0";"13897874"
"Total male and female";"1978";"The Netherlands";"13897874";"       .";"  175550";"    12.6";"  114415";"     8.2";"   61135";"  679858";"    48.8";"   89184";"  590674";"  653586";"    46.9";"   62579";"  591007";"   26272";"   87652";"     6.3";"13985526"
"Total male and female";"1979";"The Netherlands";"13985526";"       .";"  174979";"    12.5";"  112565";"     8.0";"   62414";"  635088";"    45.2";"  104553";"  530535";"  592269";"    42.2";"   61517";"  530752";"   42819";"  105488";"     7.5";"14091014"
"Total male and female";"1980";"The Netherlands";"14091014";"       .";"  181294";"    12.8";"  114279";"     8.1";"   67015";"  665926";"    47.1";"  112504";"  553422";"  615706";"    43.5";"   61948";"  553758";"   50220";"  117572";"     8.3";"14208586"
"Total male and female";"1981";"The Netherlands";"14208586";"       .";"  178569";"    12.5";"  115515";"     8.1";"   63054";"  622152";"    43.7";"   80183";"  541969";"  608185";"    42.7";"   65814";"  542371";"   13967";"   77243";"     5.4";"14285829"
"Total male and female";"1982";"The Netherlands";"14285829";"       .";"  172071";"    12.0";"  117264";"     8.2";"   54807";"  629063";"    44.0";"   70740";"  558323";"  630687";"    44.1";"   72024";"  558663";"   -1624";"   53722";"     3.8";"14339551"
"Total male and female";"1983";"The Netherlands";"14339551";"       .";"  170246";"    11.8";"  117761";"     8.2";"   52485";"  622064";"    43.3";"   66762";"  555302";"  620086";"    43.2";"   64431";"  555655";"    1978";"   55038";"     3.8";"14394589"
"Total male and female";"1984";"The Netherlands";"14394589";"       .";"  174436";"    12.1";"  119812";"     8.3";"   54624";"  619740";"    43.0";"   66907";"  552833";"  615275";"    42.7";"   61774";"  553501";"    4465";"   59244";"     4.1";"14453833"
"Total male and female";"1985";"The Netherlands";"14453833";"       .";"  178136";"    12.3";"  122704";"     8.5";"   55432";"  645347";"    44.5";"   79362";"  565985";"  625620";"    43.2";"   59475";"  566145";"   19727";"   75597";"     5.2";"14529430"
"Total male and female";"1986";"The Netherlands";"14529430";"       .";"  184513";"    12.7";"  125307";"     8.6";"   59206";"  681779";"    46.8";"   87387";"  594392";"  655678";"    45.0";"   60607";"  595071";"   26101";"   85695";"     5.9";"14615125"
"Total male and female";"1987";"The Netherlands";"14615125";"       .";"  186667";"    12.7";"  122199";"     8.3";"   64468";"  690897";"    47.1";"   95935";"  594962";"  655811";"    44.7";"   60844";"  594967";"   35086";"   99823";"     6.8";"14714948"
"Total male and female";"1988";"The Netherlands";"14714948";"       .";"  186647";"    12.6";"  124163";"     8.4";"   62484";"  680541";"    46.1";"   91238";"  589303";"  653299";"    44.3";"   63996";"  589303";"   27242";"   90232";"     6.1";"14805180"
"Total male and female";"1989";"The Netherlands";"14805240";"       .";"  188979";"    12.7";"  128905";"     8.7";"   60074";"  695247";"    46.8";"   98914";"  596333";"  668396";"    45.0";"   72063";"  596333";"   26851";"   87070";"     5.9";"14892310"
"Total male and female";"1990";"The Netherlands";"14892574";"       .";"  197965";"    13.2";"  128824";"     8.6";"   69141";"  683680";"    45.7";"  117350";"  566330";"  635269";"    42.5";"   68939";"  566330";"   48411";"  117868";"     7.9";"15010442"
"Total male and female";"1991";"The Netherlands";"15010445";"       .";"  198665";"    13.2";"  129958";"     8.6";"   68707";"  682348";"    45.3";"  120249";"  562099";"  632738";"    42.0";"   70639";"  562099";"   49610";"  118317";"     7.9";"15128762"
"Total male and female";"1992";"The Netherlands";"15129150";"       .";"  196734";"    13.0";"  129887";"     8.6";"   66847";"  694029";"    45.7";"  116926";"  577103";"  650911";"    42.9";"   73808";"  577103";"   43118";"  109969";"     7.3";"15239119"
"Total male and female";"1993";"The Netherlands";"15239182";"       .";"  195748";"    12.8";"  137795";"     9.0";"   57953";"  707120";"    46.2";"  119154";"  587966";"  662754";"    43.3";"   74788";"  587966";"   44366";"  102324";"     6.7";"15341506"
"Total male and female";"1994";"The Netherlands";"15341553";"       .";"  195611";"    12.7";"  133471";"     8.7";"   62140";"  693060";"    45.1";"   99311";"  593749";"  672977";"    43.7";"   79228";"  593749";"   20083";"   82569";"     5.4";"15424122"
"Total male and female";"1995";"The Netherlands";"15424122";"     455";"  190513";"    12.3";"  135675";"     8.8";"   54838";"  702102";"    45.4";"   96099";"  606003";"  688198";"    44.5";"   82195";"  606003";"   13904";"   69767";"     4.5";"15493889"
"Total male and female";"1996";"The Netherlands";"15493889";"     457";"  189521";"    12.2";"  137561";"     8.9";"   51960";"  738523";"    47.6";"  108749";"  629774";"  721719";"    46.5";"   91945";"  629774";"   16804";"   73218";"     4.7";"15567107"
"Total male and female";"1997";"The Netherlands";"15567107";"     459";"  192443";"    12.3";"  135783";"     8.7";"   56660";"  743216";"    47.6";"  109860";"  633356";"  715329";"    45.8";"   81973";"  633356";"   27887";"   87085";"     5.6";"15654192"
"Total male and female";"1998";"The Netherlands";"15654192";"     462";"  199408";"    12.7";"  137482";"     8.8";"   61926";"  788202";"    50.2";"  122407";"  665795";"  745084";"    47.4";"   79289";"  665795";"   43118";"  106033";"     6.8";"15760225"
"Total male and female";"1999";"The Netherlands";"15760225";"     465";"  200445";"    12.7";"  140487";"     8.9";"   59958";"  756545";"    47.8";"  119151";"  637394";"  716173";"    45.3";"   78779";"  637394";"   40372";"  103725";"     6.6";"15863950"
"Total male and female";"2000";"The Netherlands";"15863950";"     468";"  206619";"    13.0";"  140527";"     8.8";"   66092";"  746947";"    46.9";"  132850";"  614097";"  693074";"    43.5";"   78977";"  614097";"   53873";"  123125";"     7.8";"15987075"
"Total male and female";"2001";"The Netherlands";"15987075";"     472";"  202603";"    12.6";"  140377";"     8.7";"   62226";"  743567";"    46.3";"  133404";"  610163";"  692729";"    43.2";"   82566";"  610163";"   50838";"  118210";"     7.4";"16105285"
"Total male and female";"2002";"The Netherlands";"16105285";"     475";"  202083";"    12.5";"  142355";"     8.8";"   59728";"  750197";"    46.5";"  121250";"  628947";"  725865";"    44.9";"   96918";"  628947";"   24332";"   87287";"     5.4";"16192572"
"Total male and female";"2003";"The Netherlands";"16192572";"     479";"  200297";"    12.3";"  141936";"     8.7";"   58361";"  720704";"    44.4";"  104514";"  616190";"  721021";"    44.4";"  104831";"  616190";"    -317";"   65460";"     4.0";"16258032"
"Total male and female";"2004";"The Netherlands";"16258032";"     481";"  194007";"    11.9";"  136553";"     8.4";"   57454";"  711944";"    43.7";"   94019";"  617925";"  728160";"    44.7";"  110235";"  617925";"  -16216";"   47494";"     2.9";"16305526"
"Total male and female";"2005";"The Netherlands";"16305526";"     483";"  187910";"    11.5";"  136402";"     8.4";"   51508";"  734386";"    45.0";"   92297";"  642089";"  761814";"    46.7";"  119725";"  642089";"  -27428";"   28684";"     1.8";"16334210"
"Total male and female";"2006";"The Netherlands";"16334210";"     484";"  185057";"    11.3";"  135372";"     8.3";"   49685";"  753452";"    46.1";"  101150";"  652302";"  784772";"    48.0";"  132470";"  652302";"  -31320";"   23782";"     1.5";"16357992"
"Total male and female";"2007";"The Netherlands";"16357992";"     485";"  181336";"    11.1";"  133022";"     8.1";"   48314";"  763383";"    46.6";"  116819";"  646564";"  769140";"    47.0";"  122576";"  646564";"   -5757";"   47407";"     2.9";"16405399"
"Total male and female";"2008";"The Netherlands";"16405399";"     486";"  184634";"    11.2";"  135136";"     8.2";"   49498";"  792769";"    48.2";"  143516";"  649253";"  767032";"    46.6";"  117779";"  649253";"   25737";"   80388";"     4.9";"16485787"
"Total male and female";"2009";"The Netherlands";"16485787";"     489";"  184915";"    11.2";"  134235";"     8.1";"   50680";"  743878";"    45.0";"  146378";"  597500";"  709397";"    42.9";"  111897";"  597500";"   34481";"   89202";"     5.4";"16574989"
"Total male and female";"2010";"The Netherlands";"16574989";"     491";"  184397";"    11.1";"  136058";"     8.2";"   48339";"  744302";"    44.8";"  154432";"  589870";"  711221";"    42.8";"  121351";"  589870";"   33081";"   80810";"     4.9";"16655799"
"Total male and female";"2011";"The Netherlands";"16655799";"     494";"  180060";"    10.8";"  135741";"     8.1";"   44319";"  756683";"    45.3";"  162962";"  593721";"  726915";"    43.5";"  133194";"  593721";"   29768";"   74549";"     4.5";"16730348"
"Total male and female";"2012";"The Netherlands";"16730348";"     496";"  175959";"    10.5";"  140813";"     8.4";"   35146";"  768233";"    45.9";"  158374";"  609859";"  754350";"    45.0";"  144491";"  609859";"   13883";"   49227";"     2.9";"16779575"
"Total male and female";"2013";"The Netherlands";"16779575";"     498";"  171341";"    10.2";"  141245";"     8.4";"   30096";"  778922";"    46.4";"  164772";"  614150";"  759819";"    45.2";"  145669";"  614150";"   19103";"   49714";"     3.0";"16829289"
"Total male and female";"2014";"The Netherlands";"16829289";"     500";"  175181";"    10.4";"  139223";"     8.3";"   35958";"  837416";"    49.7";"  182949";"  654467";"  802329";"    47.6";"  147862";"  654467";"   35087";"   71437";"     4.2";"16900726"
"Total male and female";"2015";"The Netherlands";"16900726";"     502";"  170510";"    10.1";"  147134";"     8.7";"   23376";"  902220";"    53.3";"  204615";"  697605";"  847114";"    50.0";"  149509";"  697605";"   55106";"   78394";"     4.6";"16979120"
"Total male and female";"2016";"The Netherlands";"16979120";"     504";"  172520";"    10.1";"  148997";"     8.7";"   23523";"  998227";"    58.6";"  230739";"  767488";"  919033";"    54.0";"  151545";"  767488";"   79194";"  102387";"     6.0";"17081507"
"Total male and female";"2017";"The Netherlands";"17081507";"     507";"  169836";"     9.9";"  150214";"     8.8";"   19622";" 1031566";"    60.2";"  234957";"  796609";"  950901";"    55.5";"  154292";"  796609";"   80665";"   99577";"     5.8";"17181084"
"Total male and female";"2018";"The Netherlands";"17181084";"     510";"  168525";"     9.8";"  153363";"     8.9";"   15162";" 1002022";"    58.2";"  243737";"  758285";"  915651";"    53.1";"  157366";"  758285";"   86371";"  101079";"     5.9";"17282163"
"Total male and female";"2019";"The Netherlands";"17282163";"     513";"  169680";"     9.8";"  151885";"     8.8";"   17795";" 1026586";"    59.2";"  269064";"  757522";"  918551";"    53.0";"  161029";"  757522";"  108035";"  125422";"     7.3";"17407585"
"Total male and female";"2020";"The Netherlands";"17407585";"     517";"  168681";"     9.7";"  168678";"     9.7";"       3";" 1014246";"    58.2";"  220853";"  793393";"  945887";"    54.2";"  152494";"  793393";"   68359";"   67830";"     3.9";"17475415"
"Total male and female";"2021";"The Netherlands";"17475415";"       0";"  179441";"    10.2";"  170972";"     9.8";"    8469";" 1055038";"    60.2";"  252528";"  802510";"  947840";"    54.1";"  145330";"  802510";"  107198";"  115257";"     6.6";"17590672"
