"Periods";"Population by marital status/Total population (number)";"Population by marital status/Never married (number)";"Population by marital status/Married (number)";"Population by marital status/Widowed (number)";"Population by marital status/Divorced (number)"
"1950";"10026773";" 5284496";" 4232241";"  435532";"   74504"
"1951";"10200280";" 5354293";" 4329761";"  439933";"   76293"
"1952";"10328343";" 5384853";" 4421572";"  444343";"   77575"
"1953";"10435631";" 5409984";" 4497526";"  449090";"   79031"
"1954";"10550737";" 5443474";" 4572974";"  454436";"   79853"
"1955";"10680023";" 5481327";" 4658053";"  459762";"   80881"
"1956";"10821661";" 5526994";" 4746401";"  465827";"   82439"
"1957";"10957040";" 5567164";" 4834087";"  472164";"   83625"
"1958";"11095726";" 5607936";" 4924488";"  478607";"   84695"
"1959";"11278024";" 5677101";" 5027106";"  487125";"   86692"
"1960";"11417254";" 5730715";" 5103163";"  495131";"   88245"
"1961";"11556008";" 5785892";" 5182053";"  506613";"   81450"
"1962";"11721416";" 5850611";" 5270315";"  516742";"   83748"
"1963";"11889962";" 5917551";" 5359878";"  527100";"   85433"
"1964";"12041970";" 5975336";" 5441831";"  537585";"   87218"
"1965";"12212269";" 6025009";" 5547842";"  549790";"   89628"
"1966";"12377194";" 6059792";" 5662112";"  562821";"   92469"
"1967";"12535307";" 6080609";" 5783104";"  575104";"   96490"
"1968";"12661095";" 6082119";" 5888608";"  588916";"  101452"
"1969";"12798346";" 6083804";" 6004522";"  602271";"  107749"
"1970";"12957621";" 6104254";" 6121941";"  616504";"  114922"
"1971";"13119430";" 6114007";" 6253128";"  631129";"  121166"
"1972";"13269563";" 6116183";" 6377948";"  644911";"  130521"
"1973";"13387623";" 6109300";" 6472860";"  660242";"  145221"
"1974";"13491020";" 6106097";" 6546349";"  674186";"  164388"
"1975";"13599092";" 6099415";" 6626364";"  688197";"  185116"
"1976";"13733578";" 6120879";" 6704149";"  694903";"  213647"
"1977";"13814495";" 6120117";" 6747124";"  708657";"  238597"
"1978";"13897874";" 6127203";" 6784633";"  723362";"  262676"
"1979";"13985526";" 6149643";" 6811470";"  737346";"  287067"
"1980";"14091014";" 6190940";" 6835014";"  751355";"  313705"
"1981";"14208586";" 6234552";" 6866010";"  764965";"  343059"
"1982";"14285829";" 6259816";" 6870988";"  777553";"  377472"
"1983";"14339551";" 6238717";" 6905257";"  786477";"  409100"
"1984";"14394589";" 6261073";" 6884996";"  798174";"  450346"
"1985";"14453833";" 6285610";" 6869619";"  808543";"  490061"
"1986";"14529430";" 6323365";" 6859886";"  818352";"  527827"
"1987";"14615125";" 6356280";" 6879804";"  826934";"  552107"
"1988";"14714948";" 6405860";" 6898335";"  836619";"  574134"
"1989";"14805240";" 6446803";" 6916716";"  845193";"  596528"
"1990";"14892574";" 6464971";" 6956510";"  853599";"  617494"
"1991";"15010445";" 6518388";" 6995091";"  861207";"  635759"
"1992";"15129150";" 6572603";" 7036575";"  866367";"  653605"
"1993";"15239182";" 6626044";" 7064236";"  871905";"  676997"
"1994";"15341553";" 6688832";" 7075002";"  876986";"  700733"
"1995";"15424122";" 6735614";" 7081536";"  875647";"  731325"
"1996";"15493889";" 6792423";" 7061695";"  878081";"  761690"
"1997";"15567107";" 6848973";" 7045382";"  881565";"  791187"
"1998";"15654192";" 6910940";" 7044539";"  882562";"  816151"
"1999";"15760225";" 6980384";" 7058381";"  862537";"  858923"
"2000";"15863950";" 7048699";" 7071202";"  882071";"  861978"
"2001";"15987075";" 7138972";" 7079502";"  882162";"  886439"
"2002";"16105285";" 7241077";" 7063982";"  881876";"  918350"
"2003";"16192572";" 7321665";" 7052176";"  879742";"  938989"
"2004";"16258032";" 7389408";" 7034504";"  877579";"  956541"
"2005";"16305526";" 7450192";" 7002557";"  876605";"  976172"
"2006";"16334210";" 7499312";" 6964100";"  874896";"  995902"
"2007";"16357992";" 7543236";" 6927736";"  871565";" 1015455"
"2008";"16405399";" 7601904";" 6898147";"  869611";" 1035737"
"2009";"16485787";" 7680426";" 6882639";"  866808";" 1055914"
"2010";"16574989";" 7701812";" 6875088";"  866945";" 1131144"
"2011";"16655799";" 7773306";" 6864966";"  866497";" 1151030"
"2012";"16730348";" 7841334";" 6851016";"  865790";" 1172208"
"2013";"16779575";" 7895899";" 6823832";"  864180";" 1195664"
"2014";"16829289";" 7956499";" 6787029";"  863292";" 1222469"
"2015";"16900726";" 8031966";" 6753259";"  862705";" 1252796"
"2016";"16979120";" 8112153";" 6727554";"  860883";" 1278530"
"2017";"17081507";" 8201061";" 6718468";"  859720";" 1302258"
"2018";"17181084";" 8287607";" 6710175";"  858676";" 1324626"
"2019";"17282163";" 8374133";" 6706554";"  858443";" 1343033"
"2020";"17407585";" 8474556";" 6713002";"  859020";" 1361007"
"2021";"17475415";" 8558739";" 6678969";"  859784";" 1377923"
"2022";"17590672";" 8674526";" 6667185";"  862818";" 1386143"
