"Sex";"Age";"Marital status";"Generation";"Migration background";"Periods";"Population (number)"
"Total males and females";"Total";"Total";"Total";"Total";"1996";"15493889"
"Total males and females";"Total";"Total";"Total";"Dutch background";"1996";"12995174"
"Total males and females";"Total";"Total";"Total";"With migration background";"1996";" 2498715"
"Total males and females";"Total";"Total";"Total";"Africa";"1996";"  338255"
"Total males and females";"Total";"Total";"Total";"America";"1996";"  438677"
"Total males and females";"Total";"Total";"Total";"Asia";"1996";"  572914"
"Total males and females";"Total";"Total";"Total";"Europe (excluding Dutch background)";"1996";" 1134900"
"Total males and females";"Total";"Total";"Total";"Oceania";"1996";"   13969"
"Total males and females";"Total";"Total";"Total";"European Union (excl. Dutch background)";"1996";"  731930"
"Total males and females";"Total";"Total";"Total";"Caribbean Netherlands";"1996";""
"Total males and females";"Total";"Total";"Total";"Indonesia";"1996";"  411622"
"Total males and females";"Total";"Total";"Total";"Morocco";"1996";"  225088"
"Total males and females";"Total";"Total";"Total";"Surinam";"1996";"  280615"
"Total males and females";"Total";"Total";"Total";"Turkey";"1996";"  271514"
"Total males and females";"Total";"Total";"Dutch background";"Total";"1996";"12995174"
"Total males and females";"Total";"Total";"Dutch background";"Dutch background";"1996";"12995174"
"Total males and females";"Total";"Total";"Dutch background";"With migration background";"1996";""
"Total males and females";"Total";"Total";"Dutch background";"Africa";"1996";""
"Total males and females";"Total";"Total";"Dutch background";"America";"1996";""
"Total males and females";"Total";"Total";"Dutch background";"Asia";"1996";""
"Total males and females";"Total";"Total";"Dutch background";"Europe (excluding Dutch background)";"1996";""
"Total males and females";"Total";"Total";"Dutch background";"Oceania";"1996";""
"Total males and females";"Total";"Total";"Dutch background";"European Union (excl. Dutch background)";"1996";""
"Total males and females";"Total";"Total";"Dutch background";"Caribbean Netherlands";"1996";""
"Total males and females";"Total";"Total";"Dutch background";"Indonesia";"1996";""
"Total males and females";"Total";"Total";"Dutch background";"Morocco";"1996";""
"Total males and females";"Total";"Total";"Dutch background";"Surinam";"1996";""
"Total males and females";"Total";"Total";"Dutch background";"Turkey";"1996";""
"Total males and females";"Total";"Total";"With migration background";"Total";"1996";" 2498715"
"Total males and females";"Total";"Total";"With migration background";"Dutch background";"1996";""
"Total males and females";"Total";"Total";"With migration background";"With migration background";"1996";" 2498715"
"Total males and females";"Total";"Total";"With migration background";"Africa";"1996";"  338255"
"Total males and females";"Total";"Total";"With migration background";"America";"1996";"  438677"
"Total males and females";"Total";"Total";"With migration background";"Asia";"1996";"  572914"
"Total males and females";"Total";"Total";"With migration background";"Europe (excluding Dutch background)";"1996";" 1134900"
"Total males and females";"Total";"Total";"With migration background";"Oceania";"1996";"   13969"
"Total males and females";"Total";"Total";"With migration background";"European Union (excl. Dutch background)";"1996";"  731930"
"Total males and females";"Total";"Total";"With migration background";"Caribbean Netherlands";"1996";""
"Total males and females";"Total";"Total";"With migration background";"Indonesia";"1996";"  411622"
"Total males and females";"Total";"Total";"With migration background";"Morocco";"1996";"  225088"
"Total males and females";"Total";"Total";"With migration background";"Surinam";"1996";"  280615"
"Total males and females";"Total";"Total";"With migration background";"Turkey";"1996";"  271514"
"Total males and females";"Total";"Total";"1st generation migration background";"Total";"1996";" 1284106"
"Total males and females";"Total";"Total";"1st generation migration background";"Dutch background";"1996";""
"Total males and females";"Total";"Total";"1st generation migration background";"With migration background";"1996";" 1284106"
"Total males and females";"Total";"Total";"1st generation migration background";"Africa";"1996";"  220243"
"Total males and females";"Total";"Total";"1st generation migration background";"America";"1996";"  277893"
"Total males and females";"Total";"Total";"1st generation migration background";"Asia";"1996";"  267940"
"Total males and females";"Total";"Total";"1st generation migration background";"Europe (excluding Dutch background)";"1996";"  513113"
"Total males and females";"Total";"Total";"1st generation migration background";"Oceania";"1996";"    4917"
"Total males and females";"Total";"Total";"1st generation migration background";"European Union (excl. Dutch background)";"1996";"  261456"
"Total males and females";"Total";"Total";"1st generation migration background";"Caribbean Netherlands";"1996";""
"Total males and females";"Total";"Total";"1st generation migration background";"Indonesia";"1996";"  148960"
"Total males and females";"Total";"Total";"1st generation migration background";"Morocco";"1996";"  140572"
"Total males and females";"Total";"Total";"1st generation migration background";"Surinam";"1996";"  179266"
"Total males and females";"Total";"Total";"1st generation migration background";"Turkey";"1996";"  167248"
"Total males and females";"Total";"Total";"2nd generation migration background";"Total";"1996";" 1214609"
"Total males and females";"Total";"Total";"2nd generation migration background";"Dutch background";"1996";""
"Total males and females";"Total";"Total";"2nd generation migration background";"With migration background";"1996";" 1214609"
"Total males and females";"Total";"Total";"2nd generation migration background";"Africa";"1996";"  118012"
"Total males and females";"Total";"Total";"2nd generation migration background";"America";"1996";"  160784"
"Total males and females";"Total";"Total";"2nd generation migration background";"Asia";"1996";"  304974"
"Total males and females";"Total";"Total";"2nd generation migration background";"Europe (excluding Dutch background)";"1996";"  621787"
"Total males and females";"Total";"Total";"2nd generation migration background";"Oceania";"1996";"    9052"
"Total males and females";"Total";"Total";"2nd generation migration background";"European Union (excl. Dutch background)";"1996";"  470474"
"Total males and females";"Total";"Total";"2nd generation migration background";"Caribbean Netherlands";"1996";""
"Total males and females";"Total";"Total";"2nd generation migration background";"Indonesia";"1996";"  262662"
"Total males and females";"Total";"Total";"2nd generation migration background";"Morocco";"1996";"   84516"
"Total males and females";"Total";"Total";"2nd generation migration background";"Surinam";"1996";"  101349"
"Total males and females";"Total";"Total";"2nd generation migration background";"Turkey";"1996";"  104266"
