Age;Men;Women
105 yrs or older;0;0
104 yrs;0;0
103 yrs;0;0
102 yrs;0;0
101 yrs;0;1 000
100 yrs;0;1 000
99 yrs;0;2 000
98 yrs;1 000;2 000
97 yrs;1 000;3 000
96 yrs;1 000;5 000
95 yrs;2 000;7 000
94 yrs;3 000;9 000
93 yrs;4 000;11 000
92 yrs;6 000;14 000
91 yrs;8 000;18 000
90 yrs;11 000;21 000
89 yrs;14 000;25 000
88 yrs;16 000;28 000
87 yrs;20 000;32 000
86 yrs;24 000;36 000
85 yrs;27 000;40 000
84 yrs;31 000;43 000
83 yrs;37 000;48 000
82 yrs;41 000;52 000
81 yrs;46 000;56 000
80 yrs;48 000;57 000
79 yrs;53 000;61 000
78 yrs;60 000;68 000
77 yrs;66 000;73 000
76 yrs;65 000;72 000
75 yrs;95 000;102 000
74 yrs;94 000;101 000
73 yrs;92 000;96 000
72 yrs;91 000;95 000
71 yrs;91 000;95 000
70 yrs;92 000;95 000
69 yrs;97 000;100 000
68 yrs;97 000;100 000
67 yrs;100 000;103 000
66 yrs;102 000;105 000
65 yrs;106 000;108 000
64 yrs;109 000;111 000
63 yrs;112 000;113 000
62 yrs;116 000;117 000
61 yrs;118 000;119 000
60 yrs;122 000;122 000
59 yrs;124 000;124 000
58 yrs;127 000;126 000
57 yrs;130 000;129 000
56 yrs;128 000;126 000
55 yrs;126 000;125 000
54 yrs;126 000;125 000
53 yrs;127 000;127 000
52 yrs;133 000;133 000
51 yrs;130 000;131 000
50 yrs;125 000;126 000
49 yrs;119 000;121 000
48 yrs;110 000;112 000
47 yrs;107 000;108 000
46 yrs;103 000;104 000
45 yrs;103 000;103 000
44 yrs;101 000;102 000
43 yrs;103 000;104 000
42 yrs;104 000;104 000
41 yrs;108 000;107 000
40 yrs;106 000;106 000
39 yrs;105 000;104 000
38 yrs;105 000;103 000
37 yrs;108 000;106 000
36 yrs;110 000;108 000
35 yrs;113 000;111 000
34 yrs;114 000;111 000
33 yrs;114 000;111 000
32 yrs;116 000;113 000
31 yrs;120 000;116 000
30 yrs;119 000;116 000
29 yrs;118 000;114 000
28 yrs;117 000;113 000
27 yrs;117 000;113 000
26 yrs;113 000;110 000
25 yrs;113 000;108 000
24 yrs;112 000;109 000
23 yrs;115 000;111 000
22 yrs;115 000;111 000
21 yrs;117 000;114 000
20 yrs;114 000;111 000
19 yrs;111 000;107 000
18 yrs;108 000;103 000
17 yrs;103 000;98 000
16 yrs;100 000;95 000
15 yrs;99 000;94 000
14 yrs;97 000;93 000
13 yrs;99 000;94 000
12 yrs;99 000;94 000
11 yrs;98 000;94 000
10 yrs;96 000;91 000
9 yrs;94 000;89 000
8 yrs;91 000;87 000
7 yrs;93 000;89 000
6 yrs;90 000;86 000
5 yrs;91 000;86 000
4 yrs;89 000;84 000
3 yrs;88 000;84 000
2 yrs;88 000;84 000
1 yrs;87 000;83 000
0 yrs;92 000;88 000
